"treatment_status","control","micro_credit","in_kind_grant","cash_grant","hasbiz","is_male","worked","has_biz","family_inc_low","trained","new_biz_assets","monthly_expanses","monthly_revenue","monthly_profits","labour_inc","total_inc","age","migrate","educ_college","educ_somecollege","educ_hs","marital_s","marital_m"
1,1,0,0,0,0,1,1,1,1,1,55067.1168696397,957.054826198146,840.058092493564,-116.996733704582,258.855263196599,141.858529492017,20.9968656897242,1,0,0,1,1,0
3,0,0,1,0,1,1,0,1,0,0,59738.9737763194,244.981369934976,38.5686159133911,-206.412754021585,244.557963159929,38.1452091383441,41.8630268334917,0,1,1,0,1,0
4,0,0,0,1,0,1,0,0,1,1,68122.8779940898,96.972081111744,1503.76393413171,1406.79185301997,138.835454395838,1545.62730741581,39.7100506143504,0,0,0,1,1,0
4,0,0,0,1,1,1,1,0,1,1,42555.5896266392,729.373026173562,1841.39409707859,1112.02107090503,205.197593444395,1317.21866434943,55.1773071965442,1,1,1,0,1,0
2,0,1,0,0,0,1,1,1,0,1,52474.0014081325,474.107356043532,1635.51860442385,1161.41124838032,205.858519685496,1367.26976806581,34.3807801292956,0,1,1,0,1,0
1,1,0,0,0,1,1,0,1,1,0,41284.278613723,682.360982755199,1790.41488934308,1108.05390658788,228.196887972719,1336.2507945606,31.6305190993121,0,0,0,1,1,0
2,0,1,0,0,1,1,1,1,0,0,21540.991786266,379.008315503597,382.856954354793,3.84863885119557,244.450608616091,248.299247467286,33.9662963329242,0,2,0,0,1,0
2,0,1,0,0,0,0,1,0,0,0,35121.9437231857,357.518456876278,1496.7451938428,1139.22673696652,114.50872951924,1253.73546648576,34.5370783239831,0,0,0,1,0,1
3,0,0,1,0,0,0,0,1,1,0,56956.5117276436,283.78520696424,77.7313108555973,-206.053896108642,160.018482487889,-46.0354136207528,27.7057670746393,0,0,0,1,0,1
1,1,0,0,0,1,0,1,1,1,0,63245.2085719605,599.807664752007,882.754824589938,282.947159837931,268.090190600634,551.037350438566,37.4922593995123,0,2,0,0,0,1
1,1,0,0,0,1,1,1,1,0,0,42783.1350477716,695.929326815531,754.605859518051,58.6765327025205,167.490704205229,226.16723690775,35.4218737308843,0,1,1,0,1,0
4,0,0,0,1,0,1,0,1,1,1,53173.8590505347,670.839831698686,147.043966688216,-523.79586501047,222.584042951848,-301.211822058622,23.9015440202689,0,0,0,1,1,0
4,0,0,0,1,0,0,0,1,0,0,45275.0020559842,747.51439737156,1222.52001613379,475.005618762225,134.466636196053,609.472254958278,39.1340248299583,0,0,0,1,0,1
1,1,0,0,0,0,1,0,1,0,0,52182.4411553763,374.037032714114,1680.11241173372,1306.0753790196,177.805054010053,1483.88043302966,15.5494983893434,0,1,1,0,0,1
4,0,0,0,1,0,1,0,0,0,0,44901.0657585467,292.252186220139,861.476036719978,569.223850499839,295.474133003776,864.697983503615,23.265633547199,0,2,0,0,0,1
4,0,0,0,1,0,1,1,1,0,0,55088.874291464,345.15458252281,985.698553267866,640.543970745057,203.055729646724,843.599700391781,34.5079801594616,1,1,1,0,0,1
4,0,0,0,1,1,0,1,1,0,0,56615.6222052812,196.444042259827,709.757480304688,513.313438044861,92.4626175674656,605.776055612327,35.0285170975237,0,0,0,1,0,1
4,0,0,0,1,0,0,1,1,1,0,68356.6738394266,913.29764504917,1601.66245186701,688.364806817845,310.941993701097,999.306800518941,47.1422309592382,0,0,0,1,1,0
3,0,0,1,0,1,1,0,1,1,0,61176.4527368465,104.384859791026,65.0817262940109,-39.3031334970146,227.807451819589,188.504318322574,47.0055269232837,0,0,0,1,0,1
2,0,1,0,0,0,1,0,0,0,0,38759.8667324454,13.9098560903221,1381.10279943794,1367.19294334762,291.600475514383,1658.793418862,48.2774041641221,0,1,1,0,1,0
1,1,0,0,0,1,0,1,0,1,1,39124.4225750198,815.693682990968,89.7686434909701,-725.925039499998,205.36496802328,-520.560071476719,40.9202801885504,0,0,0,1,1,0
1,1,0,0,0,1,0,1,1,0,0,45276.895826229,588.840208947659,273.183644749224,-315.656564198434,155.645389887208,-160.011174311226,39.3928618612534,0,0,0,1,0,1
4,0,0,0,1,0,0,0,0,0,1,49049.5236022853,795.607174746692,147.815473843366,-647.791700903326,129.088966829247,-518.702734074079,20.0349849486839,1,0,0,1,0,1
1,1,0,0,0,1,1,1,1,1,1,50451.7746392731,953.526684315875,376.245820429176,-577.280863886699,148.804186495228,-428.476677391471,21.2714521733727,0,0,0,1,0,1
2,0,1,0,0,0,0,0,0,1,0,41885.4389206562,534.640662372112,261.389518622309,-273.251143749803,210.357657927692,-62.8934858221114,18.6873101197683,0,0,0,1,0,1
3,0,0,1,0,0,1,0,1,0,0,34312.3413030818,282.587833236903,1335.0039049983,1052.4160717614,241.818805797176,1294.23487755858,31.7910532868575,0,0,0,1,1,0
1,1,0,0,0,0,0,1,0,0,0,69307.1548000737,882.336820010096,188.615923281759,-693.720896728337,201.110480480095,-492.610416248242,31.7735820560465,0,2,0,0,1,0
2,0,1,0,0,1,0,1,0,1,0,60465.5901513079,220.804372103885,1374.31745836511,1153.51308626123,176.71645002141,1330.22953628264,39.6172518697245,0,0,0,1,0,1
3,0,0,1,0,1,0,0,1,1,0,32295.9205461046,157.414715038612,910.921606700867,753.506891662255,240.938714259707,994.445605921962,38.2415821490479,0,0,0,1,1,0
2,0,1,0,0,0,1,0,1,0,0,54411.7646980061,760.103428270668,1650.77058924362,890.667160972953,143.834388894895,1034.50154986785,44.8587033097076,0,1,1,0,1,0
2,0,1,0,0,1,1,1,0,0,0,55530.2137217969,720.538328168914,1130.60132367536,410.062995506451,206.895602095602,616.958597602053,49.4632215713039,0,0,0,1,0,1
3,0,0,1,0,0,0,1,1,1,0,40171.8734829752,861.033303197473,873.294044751674,12.2607415542006,159.543306160732,171.804047714932,38.4682900479465,0,0,0,1,1,0
3,0,0,1,0,1,0,1,0,0,0,48551.6816284296,697.95920746401,841.255439445376,143.296231981367,231.301224087086,374.597456068453,38.1926190580073,0,0,0,1,0,1
3,0,0,1,0,1,1,1,1,1,0,45351.1808630411,234.362782211974,783.274544402957,548.911762190983,205.473811656252,754.385573847234,39.0773146868178,0,0,0,1,1,0
2,0,1,0,0,1,0,1,0,1,0,51080.9226526095,668.037165887654,1778.8262842223,1110.78911833465,232.442077714503,1343.23119604915,23.812781291822,0,2,0,0,1,0
2,0,1,0,0,0,0,1,1,0,1,56133.9285437232,857.549073407426,768.432278651744,-89.1167947556823,144.333480269804,55.2166855141219,13.9534122494704,0,1,1,0,1,0
2,0,1,0,0,0,1,1,1,0,0,37376.1234072097,983.561878325418,1900.42171161622,916.8598332908,216.028129428372,1132.88796271917,39.8718863335193,1,0,0,1,0,1
3,0,0,1,0,1,0,0,0,1,0,50115.2266135993,150.288324570283,1148.02221208811,997.733887517825,202.864650059788,1200.59853757761,41.3929644193338,0,0,0,1,1,0
3,0,0,1,0,1,1,1,1,1,0,52015.5560744461,566.938262432814,1196.76145259291,629.823190160096,156.332527495496,786.155717655592,35.5417635393577,0,0,0,1,0,1
1,1,0,0,0,1,1,0,0,1,0,57934.2267294414,275.857801549137,645.771686919034,369.913885369897,123.103225114984,493.017110484881,37.7592181894196,0,1,1,0,0,1
2,0,1,0,0,1,1,1,1,0,0,42123.0560016002,11.9517098646611,1284.97912688181,1273.02741701715,208.544767997133,1481.57218501428,15.5297208258804,0,1,1,0,1,0
3,0,0,1,0,1,1,0,0,0,0,32416.7673332681,753.618011716753,633.484447840601,-120.133563876152,282.745905635871,162.612341759719,22.1307308820187,0,1,1,0,1,0
1,1,0,0,0,0,0,0,1,0,1,42372.5147633209,368.866684148088,1989.71359431744,1620.84691016935,138.537475170319,1759.38438533967,34.8750029691501,0,0,0,1,0,1
2,0,1,0,0,0,1,0,1,0,0,60299.4734661742,753.444741247222,1225.10569542646,471.660954179242,186.23874655297,657.899700732212,33.4103979590713,0,0,0,1,1,0
4,0,0,0,1,1,1,0,0,1,1,58017.5976213002,112.305985530838,794.185591395944,681.879605865106,226.043192855896,907.922798721002,39.8418553198836,0,1,1,0,0,1
2,0,1,0,0,0,0,1,0,0,0,49635.89799193,688.248343765736,372.704730834812,-315.543612930924,69.8593690500556,-245.684243880868,41.6318501874367,0,0,0,1,0,1
2,0,1,0,0,1,0,0,1,1,0,46553.6439335954,242.187691153958,209.946273360401,-32.241417793557,201.67507479772,169.433657004163,38.4411115606599,0,2,0,0,0,1
1,1,0,0,0,1,1,1,0,1,0,52209.5423335954,165.503510273993,271.87022799626,106.366717722267,276.382035026643,382.74875274891,35.8704322382064,0,0,0,1,0,1
1,1,0,0,0,0,0,1,0,0,0,27201.5073004483,537.397793028504,816.198644693941,278.800851665437,126.432304769268,405.233156434706,54.309028226428,1,2,0,0,1,0
3,0,0,1,0,1,1,1,0,0,0,47075.5406616641,830.191098153591,1039.30395888165,209.112860728055,278.074217731522,487.187078459577,48.5519148086385,1,0,0,1,1,0
4,0,0,0,1,0,1,0,1,1,1,52410.830601796,226.644336245954,1708.49531469867,1481.85097845271,126.387377926637,1608.23835637935,44.2031297617186,0,2,0,0,1,0
2,0,1,0,0,0,1,1,0,0,0,36446.551765346,642.410655971617,1323.21734679863,680.806690827012,225.32348972195,906.130180548962,28.9941105397175,0,0,0,1,1,0
3,0,0,1,0,0,0,1,1,0,1,53113.0953202973,632.683427073061,758.456318639219,125.772891566157,171.999463623761,297.772355189918,37.9291366047419,1,1,1,0,1,0
3,0,0,1,0,1,1,0,1,1,0,59279.9194684515,952.464537229389,1961.03785093874,1008.57331370935,293.046844079955,1301.6201577893,32.7404128392818,0,2,0,0,0,1
1,1,0,0,0,1,0,0,0,1,0,55147.8735291148,11.9541010353714,1981.42536636442,1969.47126532905,193.304000770382,2162.77526609943,15.6885491726541,1,2,0,0,0,1
3,0,0,1,0,1,1,1,0,0,0,27760.8583346855,280.633012764156,415.566393174231,134.933380410075,332.108152041182,467.041532451257,25.2220235007084,0,1,1,0,0,1
1,1,0,0,0,0,1,1,0,0,1,49342.8394446,907.803370850161,104.986911639571,-802.81645921059,142.432823716113,-660.383635494477,32.1073627557158,0,1,1,0,1,0
1,1,0,0,0,0,1,1,1,0,0,57539.2970903979,971.395140979439,1878.02777485922,906.632633879781,228.383135345686,1135.01576922547,38.3524272420524,0,0,0,1,1,0
1,1,0,0,0,0,1,1,1,0,0,54554.823944067,781.133990734816,938.377127982676,157.24313724786,315.798940729245,473.042077977105,39.5609900865667,0,0,0,1,1,0
3,0,0,1,0,0,1,1,0,0,0,45023.0749069396,548.975042998791,572.083501145244,23.1084581464529,162.688745979071,185.797204125524,23.4196600698614,0,0,0,1,1,0
1,1,0,0,0,0,1,1,0,0,0,58735.4514346472,576.828896068037,254.159185104072,-322.669710963964,204.418935044631,-118.250775919333,32.7919302450853,0,0,0,1,1,0
4,0,0,0,1,0,0,1,0,0,0,60380.9793437459,982.90427448228,1722.34706068411,739.442786201835,215.051795261913,954.494581463748,35.4989430972781,0,0,0,1,1,0
4,0,0,0,1,1,0,1,0,1,0,59746.9305325108,577.049148734659,692.971329204738,115.922180470079,229.761543142915,345.683723612994,33.0912183648349,1,0,0,1,1,0
2,0,1,0,0,0,1,1,0,0,0,41917.0114268818,186.867491807789,211.749295238405,24.8818034306169,271.51020559533,296.392009025947,33.6034278463668,1,0,0,1,1,0
3,0,0,1,0,1,0,1,1,0,1,56738.7571702151,412.748298840597,400.766940787435,-11.9813580531627,198.782246414096,186.800888360933,46.285112249567,0,2,0,0,0,1
2,0,1,0,0,1,1,1,1,0,0,55005.224229424,250.580628402531,24.447878357023,-226.132750045508,121.675070818503,-104.457679227005,50.8824087704086,0,1,1,0,1,0
3,0,0,1,0,1,1,1,1,0,0,51744.0199792851,459.096496924758,1586.03897318244,1126.94247625768,160.487941403178,1287.43041766086,29.7824308652582,0,2,0,0,0,1
4,0,0,0,1,1,1,1,1,0,1,54306.1609949836,558.573791291565,331.508581992239,-227.065209299326,158.804151789205,-68.2610575101207,25.7926748193528,1,0,0,1,1,0
3,0,0,1,0,0,1,1,0,0,0,52561.8323949675,829.582643695176,850.509107112885,20.9264634177089,194.540356688562,215.466820106271,42.957381300342,0,1,1,0,1,0
2,0,1,0,0,1,0,1,0,1,0,74372.3981774788,334.755241172388,1822.02366599813,1487.26842482574,137.863446460645,1625.13187128639,30.1747868183149,0,2,0,0,1,0
2,0,1,0,0,0,0,1,1,0,1,54677.1120537185,711.166181135923,111.642358824611,-599.523822311312,168.47504086736,-431.048781443951,31.0141638219966,0,2,0,0,1,0
4,0,0,0,1,0,1,0,0,1,0,43121.845883248,294.839835260063,961.538889445364,666.699054185301,255.345098239304,922.044152424605,35.3751076686667,0,2,0,0,0,1
3,0,0,1,0,0,0,1,0,1,0,60359.2780595508,341.469372622669,1886.31698815152,1544.84761552885,206.198133470504,1751.04574899936,28.4766381463178,0,1,1,0,1,0
1,1,0,0,0,0,1,1,1,0,0,55353.1000060452,930.186167592183,397.646553814411,-532.539613777772,285.978959449645,-246.560654328127,28.956400731968,0,1,1,0,1,0
2,0,1,0,0,1,0,0,0,0,0,48522.3256460592,18.6157531570643,778.739243745804,760.12349058874,200.127109190411,960.25059977915,37.3839288303466,0,0,0,1,1,0
3,0,0,1,0,0,1,1,1,0,0,52440.7347972252,183.692223392427,964.703577570617,781.01135417819,95.772098522825,876.783452701015,29.1976141128564,0,1,1,0,1,0
1,1,0,0,0,0,0,0,0,1,0,39735.3615259956,141.988807823509,881.5156230703,739.526815246791,244.12193481067,983.64875005746,50.7629471291835,0,2,0,0,1,0
1,1,0,0,0,1,0,0,0,1,0,40554.319785295,959.916385589167,1107.7997777611,147.883392171934,273.201562433369,421.084954605303,35.3618601198605,0,0,0,1,0,1
1,1,0,0,0,0,0,1,1,0,0,84519.5346717077,835.622469196096,467.409553471953,-368.212915724143,169.825552009902,-198.387363714241,33.30969365852,0,2,0,0,0,1
2,0,1,0,0,0,0,0,0,0,0,51021.2797742382,528.096625115722,346.968261990696,-181.128363125026,157.927380015799,-23.2009831092269,31.3520226073713,0,2,0,0,1,0
2,0,1,0,0,1,0,1,1,0,0,55106.0189951473,259.163727518171,88.2729454897344,-170.890782028437,208.650443223835,37.7596611953986,21.2591680555481,0,0,0,1,0,1
4,0,0,0,1,1,0,1,1,0,0,48389.4370248801,475.909038912505,175.132160075009,-300.776878837496,232.8908857057,-67.8859931317961,37.7026610401688,0,0,0,1,1,0
3,0,0,1,0,1,1,1,1,0,1,40441.0785435845,837.368177482858,658.845460508019,-178.52271697484,156.980330959558,-21.5423860152813,46.5367787098473,0,0,0,1,0,1
4,0,0,0,1,0,0,1,1,0,0,36476.107314612,113.731899764389,1084.90292495117,971.171025186777,246.36175449435,1217.53277968113,28.0419853671991,0,1,1,0,1,0
3,0,0,1,0,0,1,1,1,1,0,44712.6571515844,807.556519983336,949.028709437698,141.472189454362,247.755281140089,389.22747059445,25.2084191871222,0,1,1,0,0,1
2,0,1,0,0,1,1,1,0,0,0,45727.440004879,536.312159150839,571.292597800493,34.9804386496544,225.543496975353,260.523935625007,48.66702496838,0,0,0,1,1,0
1,1,0,0,0,0,0,1,1,0,1,52994.4084332882,620.008138008416,597.634251695126,-22.3738863132894,140.897360999702,118.523474686412,33.8951195735113,0,0,0,1,1,0
2,0,1,0,0,0,0,1,0,0,0,60907.2292337689,209.348034346476,1361.85107706115,1152.50304271467,181.699365318712,1334.20240803338,31.0760993451131,0,1,1,0,1,0
3,0,0,1,0,1,1,0,1,0,0,47968.1428106493,719.438837608323,586.057943291962,-133.38089431636,200.329952530699,66.9490582143383,52.618283432523,0,2,0,0,1,0
4,0,0,0,1,0,0,0,1,0,0,69079.6414379795,991.965598193929,415.339404717088,-576.626193476841,232.824100670736,-343.802092806105,33.5394813843052,1,0,0,1,1,0
4,0,0,0,1,0,1,1,1,1,0,47730.7547590676,803.773018764332,130.872405599803,-672.900613164529,161.8055371158,-511.09507604873,41.3487324466018,0,0,0,1,0,1
3,0,0,1,0,1,1,0,0,0,1,57844.9901268355,286.072534741834,46.2018684484065,-239.870666293427,201.824683530205,-38.0459827632225,47.573368849258,0,1,1,0,0,1
3,0,0,1,0,0,0,0,0,0,0,41167.1842747995,37.1026857756078,1791.84064036235,1754.73795458674,160.128324975979,1914.86627956272,35.3796574748769,0,0,0,1,1,0
1,1,0,0,0,1,0,0,0,0,0,44122.4312197123,625.413760310039,569.105422589928,-56.308337720111,246.070213019597,189.761875299486,39.2241628686163,0,0,0,1,1,0
3,0,0,1,0,1,0,1,0,0,0,45032.7236750253,525.438206735998,1094.39378371462,568.955576978624,210.883095379976,779.8386723586,38.2338406508652,0,1,1,0,1,0
1,1,0,0,0,0,0,1,1,0,1,50630.0334228211,539.205528097227,1732.20116691664,1192.99563881941,176.31238303614,1369.30802185555,39.3626340971154,0,0,0,1,1,0
1,1,0,0,0,1,0,0,0,1,0,36195.6468583148,167.617671890184,1311.93631794304,1144.31864605285,206.653123409576,1350.97176946243,41.1078889494465,0,0,0,1,1,0
4,0,0,0,1,1,0,0,0,1,0,31247.0201391141,696.559773990884,723.815682344139,27.2559083532542,210.886180926987,238.142089280241,27.5761307725373,0,1,1,0,1,0
3,0,0,1,0,0,0,1,0,1,0,64721.703951495,195.01969171688,1898.57578184456,1703.55609012768,213.723007348977,1917.27909747665,60.1142458288471,0,2,0,0,1,0
2,0,1,0,0,0,0,0,1,1,0,65119.7409314461,135.4406978935,339.525843039155,204.085145145655,139.995240749722,344.080385895377,36.0960647343905,1,2,0,0,0,1
1,1,0,0,0,1,0,1,1,1,0,58833.2603413134,797.055919189006,132.058118935674,-664.997800253332,185.774838541647,-479.222961711684,42.6308621483611,0,1,1,0,1,0
3,0,0,1,0,0,0,1,1,1,0,51420.6520907814,55.3661917801946,1522.85777172074,1467.49157994054,226.731894400048,1694.22347434059,33.7396836957643,1,2,0,0,0,1
2,0,1,0,0,0,1,0,1,0,0,36450.0742607507,33.4719910752028,90.0868671014905,56.6148760262877,185.045314281776,241.660190308063,20.8364615255675,1,1,1,0,1,0
1,1,0,0,0,1,0,0,0,1,0,28557.6775358639,868.049786193296,1145.40906529874,277.35927910544,235.945586510413,513.304865615853,44.0219629418313,0,2,0,0,1,0
4,0,0,0,1,1,0,0,0,0,0,45391.1190176016,751.854382455349,1500.70215575397,748.847773298621,215.091130590931,963.938903889552,32.8123566270107,1,2,0,0,0,1
2,0,1,0,0,1,0,1,0,0,1,63398.3885522919,740.606593666598,427.791650407016,-312.814943259582,169.818149870374,-142.996793389208,66.1547250627417,0,0,0,1,1,0
4,0,0,0,1,1,0,1,0,0,0,36803.6976063535,314.226957503706,1883.1468843855,1568.91992688179,150.637304904532,1719.55723178632,36.3335705591952,0,0,0,1,0,1
1,1,0,0,0,0,0,0,1,0,0,57909.0845960131,959.110893309116,1766.55375678092,807.442863471806,238.531392581706,1045.97425605351,47.0152697675246,0,0,0,1,1,0
4,0,0,0,1,1,0,1,0,0,1,61058.0319838207,693.81905416958,1055.15575036407,361.336696194485,215.081759337142,576.418455531627,48.2990826809076,0,0,0,1,1,0
3,0,0,1,0,1,1,0,1,0,1,38629.5977408778,723.03074831143,1768.22647731751,1045.19572900608,263.618030408877,1308.81375941496,33.1761672648305,0,0,0,1,1,0
4,0,0,0,1,1,0,1,0,0,1,66343.6091889306,898.287262069061,1719.52734701335,821.240084944293,156.741356875819,977.981441820112,32.0885451102613,0,0,0,1,0,1
3,0,0,1,0,0,1,0,0,1,0,57638.4143065419,823.21187434718,1889.61372710764,1066.40185276046,105.102473686282,1171.50432644675,41.4777025546159,1,0,0,1,0,1
3,0,0,1,0,1,0,1,1,0,1,63510.6890054366,472.910730866715,1544.94044790044,1072.02971703373,219.717916976608,1291.74763401034,16.8086251726691,0,0,0,1,1,0
2,0,1,0,0,1,1,0,1,0,0,56154.7567823,949.585326015949,1101.19902994484,151.613703928888,248.312960321248,399.926664250136,34.8024151066568,0,0,0,1,0,1
3,0,0,1,0,0,0,1,0,0,0,49460.545811391,841.403003316373,970.519380178303,129.11637686193,195.027533967136,324.143910829066,35.014521432015,0,0,0,1,0,1
1,1,0,0,0,0,1,1,0,1,0,61052.518987899,801.371195120737,699.879151768982,-101.492043351755,157.368099316493,55.8760559647384,40.0948523653417,0,0,0,1,1,0
2,0,1,0,0,1,0,1,0,1,0,49025.1170504971,586.41323982738,1272.80664909631,686.39340926893,229.871836347309,916.26524561624,44.9460997662413,0,1,1,0,1,0
2,0,1,0,0,1,0,0,0,0,0,56597.0442938602,687.984252348542,667.300623841584,-20.6836285069585,151.699874345848,131.01624583889,48.5832652835228,0,1,1,0,0,1
2,0,1,0,0,0,0,0,0,0,0,49623.6230731043,830.839852336794,154.871640726924,-675.96821160987,244.257612525529,-431.710599084341,38.493883514724,1,1,1,0,1,0
4,0,0,0,1,0,1,1,0,1,0,67424.0563112735,175.159964244813,1979.02895463631,1803.86899039149,177.655061886674,1981.52405227817,21.2755355286804,0,2,0,0,1,0
4,0,0,0,1,0,0,0,0,0,1,46566.5611879359,874.477756675333,346.254379488528,-528.223377186805,131.965403279434,-396.257973907371,39.1327700581179,0,2,0,0,1,0
1,1,0,0,0,0,1,1,1,0,1,43752.9813765846,557.441769633442,1938.95196449012,1381.51019485667,138.518738736099,1520.02893359277,35.5343954111579,0,0,0,1,1,0
4,0,0,0,1,1,1,0,1,1,1,53208.5933722213,796.271382831037,897.287493571639,101.016110740602,174.657477552209,275.673588292811,23.1593020656807,0,0,0,1,1,0
4,0,0,0,1,0,0,1,1,0,1,57922.9964752987,731.807189527899,1184.69258444384,452.885394915938,209.711860409793,662.597255325731,43.0788155835444,0,2,0,0,1,0
4,0,0,0,1,1,1,1,0,1,1,50819.2614063563,954.169249394909,1293.450106401,339.280857006088,233.44536109918,572.726218105268,43.2276476453518,0,1,1,0,1,0
4,0,0,0,1,0,0,0,1,1,0,61812.9798287492,674.28768845275,1839.64947750792,1165.36178905517,151.524325536659,1316.88611459183,36.7384052968534,1,1,1,0,1,0
1,1,0,0,0,0,0,0,1,1,0,37689.1988986666,290.405741892755,900.755693670362,610.349951777607,142.35237473507,752.702326512677,36.7237214802957,0,0,0,1,0,1
1,1,0,0,0,1,0,1,1,1,0,52776.809796122,256.880216998979,863.589353859425,606.709136860445,216.627432868328,823.336569728773,43.8843107890605,0,2,0,0,0,1
1,1,0,0,0,1,0,0,1,1,0,43692.2002679264,867.604468949139,262.479247059673,-605.125221889466,167.800297980962,-437.324923908504,44.8614983974708,0,0,0,1,0,1
3,0,0,1,0,1,0,1,1,0,1,44248.9018196353,128.388279583305,1418.3173305355,1289.9290509522,222.473837625466,1512.40288857766,37.0058375800975,0,1,1,0,1,0
3,0,0,1,0,0,1,1,1,0,0,32633.5990461766,899.937318172306,760.781296063215,-139.156022109091,247.775212755625,108.619190646534,21.3596862915175,0,1,1,0,1,0
3,0,0,1,0,1,0,0,1,0,0,47981.8415899509,757.362818112597,78.240021597594,-679.122796515003,141.149790815873,-537.97300569913,22.4604427083587,0,0,0,1,0,1
2,0,1,0,0,0,1,1,0,0,0,46356.7075278855,323.461692547426,1556.02889414877,1232.56720160134,131.394366769315,1363.96156837066,30.8900100076823,1,0,0,1,1,0
2,0,1,0,0,1,1,1,0,1,0,56180.3016271915,476.676774211228,1104.28668325767,627.609909046441,216.631324951257,844.241233997699,17.566667653926,0,2,0,0,1,0
1,1,0,0,0,0,1,1,0,1,0,58100.6295155125,718.172645196319,1126.38113461435,408.20848941803,168.282586727137,576.491076145167,43.2144821003424,0,2,0,0,1,0
2,0,1,0,0,1,0,0,1,1,0,69201.4358737473,550.625141942874,1580.96615318209,1030.34101123922,225.417974522976,1255.75898576219,23.5850813843998,0,1,1,0,1,0
2,0,1,0,0,0,0,0,1,1,0,52858.0780671394,273.888697382063,423.976728692651,150.088031310588,242.637539705418,392.725571016006,36.1039957881621,0,2,0,0,1,0
2,0,1,0,0,1,1,1,1,0,1,52350.4134465089,745.990630006418,1653.54962414131,907.558994134888,114.389284765432,1021.94827890032,43.203823326823,0,2,0,0,1,0
2,0,1,0,0,1,1,0,0,1,0,62681.6715565037,186.151697300375,182.611087337136,-3.54060996323824,218.40343212084,214.862822157602,37.270497933536,0,2,0,0,1,0
4,0,0,0,1,1,1,1,1,0,0,46606.5985898206,394.723813515157,903.997360728681,509.273547213525,101.279838295368,610.553385508892,44.4426152556163,0,2,0,0,1,0
1,1,0,0,0,1,1,1,0,0,0,42292.2062313216,184.324375120923,673.037853091955,488.713477971032,148.995841327944,637.709319298976,20.9178547279599,1,1,1,0,1,0
3,0,0,1,0,0,0,1,1,1,0,61832.3092303863,867.394984234124,1964.8819421418,1097.48695790768,163.695027408217,1261.18198531589,29.7097209490364,1,0,0,1,1,0
3,0,0,1,0,1,0,1,0,1,0,52967.266076386,985.916794044897,1838.70054036379,852.783746318892,210.167797393677,1062.95154371257,49.0952700207301,0,2,0,0,1,0
2,0,1,0,0,0,0,1,1,1,0,33724.0581444641,273.074121912941,1664.1823258251,1391.10820391215,221.425487197231,1612.53369110939,40.5555317334124,0,0,0,1,1,0
2,0,1,0,0,1,0,0,1,0,1,56408.9835695055,634.730698307976,534.940958954394,-99.7897393535823,173.223990757539,73.4342514039563,25.7311589881334,0,0,0,1,0,1
3,0,0,1,0,0,0,1,1,1,1,51669.453091884,432.790926424786,1986.81099060923,1554.02006418444,147.202615719779,1701.22267990422,34.2345588772854,0,0,0,1,1,0
4,0,0,0,1,0,0,1,0,1,0,39883.4086169339,904.772490728647,1273.59960507601,368.827114347368,142.301309279845,511.128423627214,24.0759151850858,0,0,0,1,1,0
2,0,1,0,0,0,0,0,0,0,0,53850.7141035537,951.736061600968,436.898389365524,-514.837672235444,149.130837142749,-365.706835092695,9.74636896372375,0,2,0,0,0,1
